Time,Open,Close,Tick Volume
1191484800,0.881,0.8831,445
1191488400,0.8829,0.8817,430
1191492000,0.8818,0.8854,384
1191495600,0.8853,0.8849,448
1191499200,0.885,0.8842,257
1191502800,0.8843,0.8845,198
1191506400,0.8844,0.8838,367
1191510000,0.8839,0.8855,350
1191513600,0.8856,0.8888,618
1191517200,0.8887,0.8882,342
1191520800,0.8881,0.8883,188
1191524400,0.8884,0.8884,140
1191528000,0.8885,0.8872,128
1191531600,0.8871,0.8874,137
1191535200,0.8875,0.8878,83
1191538800,0.8876,0.8879,92
1191542400,0.888,0.8888,108
1191546000,0.8887,0.8883,144
1191549600,0.8884,0.889,178
1191553200,0.8891,0.889,101
1191556800,0.8889,0.8888,89
1191560400,0.8887,0.8885,58
1191564000,0.8886,0.8876,92
1191567600,0.8875,0.8872,133
1191571200,0.8871,0.8887,268
1191574800,0.8886,0.8902,400
1191578400,0.8901,0.8913,353
1191582000,0.8914,0.8914,452
1191585600,0.8913,0.8928,305
1191589200,0.8929,0.8929,393
1191592800,0.8928,0.8918,991
1191596400,0.8917,0.8982,924
1191600000,0.8981,0.8988,544
1191603600,0.8989,0.8997,373
1191607200,0.8996,0.8972,306
1191610800,0.8973,0.8974,169
1191614400,0.8973,0.8969,137
1191618000,0.897,0.8971,110
1191621600,0.8972,0.8973,163
1191801600,0.8997,0.8995,172
1191805200,0.8994,0.9015,252
1191808800,0.9014,0.9015,246
1191812400,0.9014,0.9013,159
1191816000,0.9014,0.9011,87
1191819600,0.901,0.901,155
1191823200,0.9009,0.9011,109
1191826800,0.901,0.9029,168
1191830400,0.9028,0.9015,276
1191834000,0.9016,0.901,305
1191837600,0.9011,0.8997,275
1191841200,0.8998,0.8987,207
1191844800,0.8988,0.8988,193
1191848400,0.8987,0.8983,148
1191852000,0.8984,0.897,148
1191855600,0.8971,0.8963,163
1191859200,0.8962,0.8959,290
1191862800,0.8958,0.8954,123
1191866400,0.8958,0.8946,173
1191870000,0.8947,0.8941,60
1191873600,0.894,0.8929,127
1191877200,0.8928,0.8921,53
1191880800,0.892,0.8933,87
1191884400,0.8934,0.8929,163
1191888000,0.8928,0.8934,69
1191891600,0.8935,0.8942,143
1191895200,0.8943,0.8957,322
1191898800,0.8956,0.8934,330
1191902400,0.8935,0.8927,197
1191906000,0.8928,0.8927,218
1191909600,0.8928,0.8926,252
1191913200,0.8925,0.8925,200
1191916800,0.8924,0.8942,409
1191920400,0.8943,0.8943,327
1191924000,0.8944,0.8925,235
1191927600,0.8926,0.8931,313
1191931200,0.8932,0.8948,313
1191934800,0.8949,0.894,271
1191938400,0.8939,0.8938,261
1191942000,0.8937,0.8948,331
1191945600,0.8949,0.8974,549
1191949200,0.8975,0.8972,426
1191952800,0.8971,0.8968,124
1191956400,0.8966,0.8963,97
1191960000,0.8964,0.8981,251
1191963600,0.8982,0.8989,118
1191967200,0.899,0.9005,167
1191970800,0.9003,0.9006,138
1191974400,0.9007,0.8994,165
1191978000,0.8997,0.8991,243
1191981600,0.899,0.8995,263
1191985200,0.8994,0.8988,309
1191988800,0.8986,0.8984,165
1191992400,0.8985,0.8985,220
1191996000,0.8984,0.8984,240
1191999600,0.8983,0.8986,220
1192003200,0.8984,0.8988,316
1192006800,0.8987,0.8988,362
1192010400,0.8987,0.8985,351
1192014000,0.8987,0.899,273
1192017600,0.8991,0.8985,220
1192021200,0.8986,0.8969,343
1192024800,0.897,0.8994,377
1192028400,0.8993,0.8993,334
1192032000,0.8994,0.899,373
1192035600,0.8991,0.8989,277
1192039200,0.899,0.8981,165
1192042800,0.8982,0.8956,303
1192046400,0.8955,0.8963,266
1192050000,0.8964,0.8977,163
1192053600,0.8976,0.8979,114
1192057200,0.8981,0.8968,105
1192060800,0.8969,0.8972,86
1192064400,0.8973,0.8979,154
1192068000,0.8981,0.8989,239
1192071600,0.899,0.8976,465
1192075200,0.8975,0.898,201
1192078800,0.8981,0.8991,213
1192082400,0.899,0.8994,176
1192086000,0.8995,0.8994,227
1192089600,0.8993,0.9007,438
1192093200,0.9008,0.9021,427
1192096800,0.9022,0.9041,418
1192100400,0.904,0.904,304
1192104000,0.9041,0.9045,336
1192107600,0.9044,0.9033,260
1192111200,0.9032,0.9032,587
1192114800,0.9033,0.9038,535
1192118400,0.9039,0.9051,700
1192122000,0.9052,0.904,410
1192125600,0.9039,0.9045,241
1192129200,0.9044,0.9039,115
1192132800,0.9036,0.9033,443
1192136400,0.9034,0.8996,463
1192140000,0.8997,0.9004,111
1192143600,0.9,0.9007,173
1192147200,0.9006,0.9006,143
1192150800,0.9005,0.9016,280
1192154400,0.9017,0.9011,211
1192158000,0.9012,0.9004,189
1192161600,0.9003,0.9007,221
1192165200,0.9006,0.9002,182
1192168800,0.9001,0.8984,228
1192172400,0.8982,0.8983,422
1192176000,0.8982,0.8978,570
1192179600,0.8977,0.901,600
1192183200,0.9011,0.903,333
1192186800,0.9031,0.9021,438
1192190400,0.9022,0.9026,246
1192194000,0.9025,0.9006,303
1192197600,0.9005,0.9043,691
1192201200,0.9044,0.9037,626
1192204800,0.9038,0.9033,593
1192208400,0.9034,0.9039,468
1192212000,0.9038,0.9033,154
1192215600,0.9032,0.9029,116
1192219200,0.903,0.9028,89
1192222800,0.9029,0.9032,104
1192226400,0.9033,0.9045,79
1192406400,0.9059,0.9042,198
1192410000,0.9041,0.9041,255
1192413600,0.9042,0.9042,235
1192417200,0.9043,0.9042,177
1192420800,0.9041,0.9035,118
1192424400,0.9036,0.9037,157
1192428000,0.9038,0.9043,170
1192431600,0.9042,0.9055,159
1192435200,0.9056,0.9049,311
1192438800,0.905,0.9056,412
1192442400,0.9055,0.9059,308
1192446000,0.906,0.9067,245
1192449600,0.9069,0.9069,320
1192453200,0.907,0.9062,310
1192456800,0.9061,0.9057,289
1192460400,0.9055,0.9062,392
1192464000,0.9063,0.9041,503
1192467600,0.904,0.9009,832
1192471200,0.901,0.8996,259
1192474800,0.8995,0.899,203
1192478400,0.8991,0.8985,206
1192482000,0.8984,0.8977,269
1192485600,0.8981,0.8987,85
1192489200,0.8988,0.9002,172
1192492800,0.9001,0.8998,159
1192496400,0.8997,0.8993,335
1192500000,0.8992,0.8975,399
1192503600,0.8976,0.8988,325
1192507200,0.8987,0.8982,326
1192510800,0.8983,0.8984,157
1192514400,0.8985,0.8985,139
1192518000,0.8986,0.8996,330
1192521600,0.8995,0.9008,365
1192525200,0.9009,0.8902,1648
1192528800,0.8904,0.8918,954
1192532400,0.8916,0.8891,675
1192536000,0.8892,0.8887,520
1192539600,0.8888,0.8885,457
1192543200,0.8883,0.889,451
1192546800,0.8891,0.8863,1000
1192550400,0.8861,0.8843,1006
1192554000,0.8844,0.8856,812
1192557600,0.8857,0.8865,337
1192561200,0.8864,0.8875,346
1192564800,0.8874,0.8857,335
1192568400,0.8858,0.8861,237
1192572000,0.8867,0.8881,162
1192575600,0.8882,0.8895,241
1192579200,0.8894,0.8897,224
1192582800,0.8896,0.8904,286
1192586400,0.8906,0.8874,623
1192590000,0.8872,0.8863,464
1192593600,0.8866,0.8883,195
1192597200,0.8882,0.888,347
1192600800,0.8881,0.8863,411
1192604400,0.8862,0.8839,721
1192608000,0.8838,0.8828,640
1192611600,0.8827,0.8871,776
1192615200,0.8872,0.8893,622
1192618800,0.8892,0.8885,593
1192622400,0.8884,0.8887,329
1192626000,0.8886,0.8912,683
1192629600,0.8913,0.893,640
1192633200,0.8931,0.8945,692
1192636800,0.8944,0.8921,727
1192640400,0.892,0.894,613
1192644000,0.8939,0.89,356
1192647600,0.8899,0.8843,535
1192651200,0.8844,0.885,432
1192654800,0.8851,0.889,380
1192658400,0.8889,0.8912,289
1192662000,0.8911,0.8916,254
1192665600,0.8915,0.8906,175
1192669200,0.8905,0.8895,467
1192672800,0.8894,0.8906,301
1192676400,0.8905,0.8935,338
1192680000,0.8934,0.8922,443
1192683600,0.8924,0.8929,189
1192687200,0.8931,0.8935,208
1192690800,0.8934,0.8933,271
1192694400,0.8934,0.8947,441
1192698000,0.8948,0.8924,500
1192701600,0.8923,0.8924,700
1192705200,0.8923,0.8918,353
1192708800,0.8919,0.8912,341
1192712400,0.8913,0.8904,795
1192716000,0.8903,0.8933,614
1192719600,0.8932,0.894,487
1192723200,0.8939,0.8943,786
1192726800,0.8945,0.8942,561
1192730400,0.8944,0.8934,156
1192734000,0.8933,0.8961,203
1192737600,0.8962,0.8958,277
1192741200,0.8956,0.8957,171
1192744800,0.8955,0.8962,108
1192748400,0.896,0.8945,184
1192752000,0.8944,0.896,108
1192755600,0.8964,0.8951,178
1192759200,0.8949,0.8931,359
1192762800,0.8932,0.8929,535
1192766400,0.893,0.8934,248
1192770000,0.8941,0.894,251
1192773600,0.8939,0.8937,282
1192777200,0.8938,0.8934,302
1192780800,0.8933,0.8901,578
1192784400,0.8902,0.8939,598
1192788000,0.8938,0.8934,334
1192791600,0.8933,0.8934,200
1192795200,0.8933,0.896,366
1192798800,0.8961,0.8964,266
1192802400,0.8962,0.8982,318
1192806000,0.8981,0.8954,479
1192809600,0.8953,0.8911,878
1192813200,0.891,0.893,847
1192816800,0.8931,0.894,267
1192820400,0.8939,0.8941,350
1192824000,0.8939,0.8945,376
1192827600,0.8946,0.891,338
1192831200,0.8911,0.8902,209
1193011200,0.8891,0.8874,283
1193014800,0.8872,0.8859,538
1193018400,0.886,0.8853,465
1193022000,0.8854,0.8855,374
1193025600,0.8854,0.8877,286
1193029200,0.8876,0.8886,252
1193032800,0.8887,0.8895,316
1193036400,0.8893,0.8881,350
1193040000,0.8882,0.8901,519
1193043600,0.8902,0.8888,369
1193047200,0.8889,0.8889,435
1193050800,0.8888,0.8867,407
1193054400,0.8868,0.8784,735
1193058000,0.8783,0.8771,1107
1193061600,0.877,0.8799,844
1193065200,0.8798,0.8802,861
1193068800,0.8801,0.8773,868
1193072400,0.8772,0.8783,782
1193076000,0.8782,0.8799,423
1193079600,0.8798,0.8827,482
1193083200,0.8826,0.8817,234
1193086800,0.8818,0.8839,253
1193090400,0.8838,0.8861,251
1193094000,0.8862,0.887,164
1193097600,0.8875,0.8878,216
1193101200,0.8877,0.8868,301
1193104800,0.8867,0.8871,278
1193108400,0.8873,0.8876,234
1193112000,0.8875,0.8886,365
1193115600,0.8885,0.8897,169
1193119200,0.8898,0.8885,229
1193122800,0.8887,0.8906,273
1193126400,0.8907,0.8912,527
1193130000,0.8911,0.8905,453
1193133600,0.8904,0.8928,396
1193137200,0.8927,0.8922,248
1193140800,0.8924,0.8935,289
1193144400,0.8936,0.8928,430
1193148000,0.893,0.8955,623
1193151600,0.8954,0.895,649
1193155200,0.8951,0.893,703
1193158800,0.8931,0.894,820
1193162400,0.8941,0.8951,243
1193166000,0.895,0.896,142
1193169600,0.8966,0.8968,261
1193173200,0.897,0.8979,199
1193176800,0.8978,0.8984,122
1193180400,0.8985,0.8977,146
1193184000,0.8975,0.8982,181
1193187600,0.8983,0.8975,268
1193191200,0.8974,0.8984,216
1193194800,0.8983,0.9029,657
1193198400,0.903,0.903,225
1193202000,0.9032,0.9016,263
1193205600,0.9015,0.898,505
1193209200,0.8979,0.8972,455
1193212800,0.8973,0.899,558
1193216400,0.8988,0.8971,871
1193220000,0.8969,0.8966,361
1193223600,0.8967,0.8988,265
1193227200,0.8986,0.8989,349
1193230800,0.8988,0.8985,634
1193234400,0.8986,0.9005,590
1193238000,0.9004,0.901,845
1193241600,0.9009,0.8985,1038
1193245200,0.8984,0.8994,985
1193248800,0.8995,0.8982,344
1193252400,0.8983,0.8971,246
1193256000,0.8972,0.9003,505
1193259600,0.9002,0.9014,453
1193263200,0.9015,0.9028,171
1193266800,0.9027,0.903,137
1193270400,0.9031,0.9037,187
1193274000,0.9036,0.9019,201
1193277600,0.9018,0.9014,273
1193281200,0.9011,0.903,233
1193284800,0.9031,0.9022,259
1193288400,0.9023,0.9019,231
1193292000,0.902,0.902,247
