Time,Open,High,Low,Close,Tick Volume
735868800,137.84,138.3,135.73,137.72,5021
735955200,137.73,139.01,136.93,138.33,3561
736041600,138.37,139.04,137.31,137.58,2671
736128000,137.62,137.86,136.58,137.14,2081
736387200,136.6,137.26,136.05,136.98,2041
736473600,136.98,137.4,136.58,136.8,1461
736560000,136.77,137.2,136.21,136.41,1621
736646400,136.35,136.85,136.15,136.48,1271
736732800,136.41,137.16,135.99,136.12,2051
736992000,136.42,136.65,135.75,135.88,1261
737078400,135.86,135.94,135.04,135.05,991
737164800,135.04,136.14,134.87,135.45,2131
737251200,135.4,135.82,134.82,135.51,1891
737337600,135.51,136.08,135.1,135.19,1641
737596800,135.49,135.49,134.72,134.87,921
737683200,135.17,135.17,134.1,134.19,1161
737769600,134.27,134.76,132.97,133.46,2771
737856000,133.43,134.07,133.13,133.93,1381
737942400,133.22,133.87,132.31,132.75,2651
738201600,132.77,132.91,131.73,132.29,1881
738288000,132.28,132.49,130.85,130.91,1911
738374400,131.0,131.12,129.93,130.23,1611
738460800,130.21,131.23,129.89,131.13,1761
738547200,131.15,132.42,130.62,131.8,2951
738806400,132.39,132.46,131.5,131.61,1141
738892800,132.14,132.39,130.9,132.13,2971
738979200,132.12,132.36,130.99,131.22,1841
739065600,131.23,131.96,130.95,131.35,1901
739152000,131.35,131.66,129.45,129.47,2541
739411200,129.62,129.82,128.96,129.5,1601
739497600,129.49,129.61,127.66,127.78,2191
739584000,127.75,128.03,127.01,127.26,1551
739670400,127.29,127.59,126.44,127.22,2231
739756800,127.22,128.2,127.09,127.61,1831
740016000,127.45,127.45,125.97,126.28,1791
740102400,126.35,127.29,125.44,125.87,3221
740188800,125.78,126.53,125.48,125.79,2091
740275200,125.75,126.88,125.7,126.42,1691
740361600,126.36,128.0,126.19,127.56,2421
740620800,127.29,129.14,127.14,128.08,3211
740707200,128.09,129.11,127.5,127.72,2851
740793600,127.77,128.04,125.59,125.63,2761
740880000,125.71,126.12,124.14,124.46,2711
740966400,124.42,124.61,121.65,121.71,3211
741225600,121.02,122.98,120.53,122.83,3091
741312000,122.81,124.26,121.89,123.14,4411
741398400,123.12,123.82,121.89,122.92,3661
741484800,122.95,124.63,122.42,124.43,2941
741571200,124.37,125.42,124.14,125.08,1851
741830400,125.48,125.73,124.99,125.73,1231
741916800,125.56,125.75,123.88,125.08,3261
742003200,125.09,125.11,123.11,123.29,2201
742089600,123.29,124.98,122.57,124.79,3321
742176000,124.82,124.95,123.33,124.79,3211
742435200,125.11,125.24,123.49,123.65,2041
742521600,123.65,123.7,122.65,122.86,1311
742608000,122.81,123.32,121.95,122.01,1941
742694400,122.05,123.06,121.98,122.92,1291
742780800,122.85,123.13,121.77,122.37,2241
743040000,122.96,124.59,122.76,124.41,2211
743126400,124.32,124.88,123.79,124.55,1951
743212800,124.53,125.28,124.31,124.61,1861
743299200,124.66,124.66,120.66,121.12,4461
743385600,121.12,122.19,120.88,121.61,2131
743644800,121.64,121.81,120.34,120.93,2231
743731200,120.95,121.48,119.95,120.33,2441
743817600,120.37,120.74,119.51,120.61,2221
743904000,120.67,121.53,119.07,119.65,3901
743990400,119.55,119.68,117.13,117.99,3541
744249600,117.19,119.84,117.18,119.43,3081
744336000,119.45,120.13,119.04,119.59,2041
744422400,119.63,120.3,119.57,120.11,981
744508800,120.05,120.28,118.65,119.37,2581
744595200,119.39,120.76,118.96,120.17,2821
744854400,120.5,121.13,120.39,120.83,1151
744940800,120.81,120.85,119.11,119.17,1841
745027200,119.09,119.4,117.45,117.81,2621
745113600,117.83,118.13,117.02,117.51,1901
745200000,117.51,117.51,116.09,116.4,1731
745459200,116.17,117.94,115.58,117.7,3191
745545600,117.74,118.5,116.51,116.68,2921
745632000,116.66,118.57,116.53,118.21,2531
745718400,118.33,123.32,117.61,122.5,7251
745804800,122.36,122.7,120.74,121.83,3391
746064000,121.28,121.39,119.35,119.69,2491
746150400,119.59,121.02,119.17,120.95,2341
746236800,120.96,122.28,120.56,121.83,2571
746323200,121.77,122.81,121.4,122.74,1851
746409600,122.72,123.0,121.65,121.9,1881
746668800,122.06,122.43,121.25,121.44,1741
746755200,121.31,122.4,121.31,122.15,1341
746841600,122.13,124.64,121.89,124.22,3411
746928000,124.22,126.14,123.82,125.74,3121
747014400,125.71,126.88,124.81,126.32,3531
747273600,126.35,127.23,126.11,126.42,2171
747360000,126.63,127.07,124.78,126.27,4221
747446400,126.22,128.08,126.13,127.97,2151
747532800,127.97,129.0,126.97,128.41,3621
747619200,128.51,130.58,128.43,129.96,2851
747878400,129.63,130.27,128.41,129.13,3221
747964800,129.08,129.21,127.62,128.65,2751
748051200,128.67,130.65,128.59,129.46,3331
748137600,128.82,129.15,126.74,126.99,2991
748224000,127.05,127.45,126.08,126.51,2201
748483200,126.93,127.23,125.65,127.13,2961
748569600,127.14,129.24,126.67,127.36,4921
748656000,127.43,128.17,126.31,127.38,3671
748742400,127.39,127.94,125.77,125.84,2791
748828800,125.79,126.55,125.05,126.51,2281
749088000,126.85,127.73,126.76,127.5,1291
749174400,127.5,127.55,126.38,127.17,2011
749260800,127.21,128.21,126.92,127.1,2471
749347200,127.1,127.36,126.41,127.02,1821
749433600,127.04,127.41,126.62,127.09,1531
749692800,125.85,127.83,125.34,127.58,3251
749779200,127.57,127.66,126.71,127.22,1551
749865600,127.23,127.5,126.77,127.42,1271
749952000,127.36,127.36,126.31,126.43,1171
750038400,126.42,129.52,126.4,129.52,3141
750297600,129.47,130.03,129.34,129.61,1241
750384000,129.43,130.21,129.14,129.88,1691
750470400,129.8,129.83,129.06,129.23,971
750556800,129.29,130.52,129.1,129.95,2181
750643200,130.04,130.17,129.36,129.58,1161
750902400,129.41,129.81,128.0,128.2,2411
750988800,128.27,128.34,127.3,127.5,1311
751075200,127.45,128.61,127.03,128.13,2481
751161600,128.08,129.08,126.51,126.8,3861
751248000,126.79,127.31,125.98,126.0,1871
751507200,126.22,127.29,125.89,126.03,2611
751593600,125.99,126.3,125.2,126.11,2081
751680000,125.99,126.75,125.88,126.55,1181
751766400,126.51,127.28,125.22,126.37,3981
751852800,126.37,126.82,125.77,126.02,1751
752112000,125.96,126.19,124.71,124.95,1951
752198400,124.94,125.11,123.47,123.83,2171
752284800,123.85,124.71,123.47,124.53,1801
752371200,124.5,125.03,124.39,124.82,961
752457600,124.9,125.29,124.11,125.18,2081
752716800,125.24,125.73,124.82,125.02,1601
752803200,125.07,125.6,124.68,124.79,1561
752889600,124.76,124.97,123.31,124.26,2821
752976000,124.25,124.34,122.77,122.96,1851
753062400,122.96,123.13,122.34,122.95,1571
753321600,122.94,123.97,122.31,123.04,3221
753408000,122.93,123.32,122.22,122.46,1731
753494400,122.49,123.13,122.41,122.6,1331
753580800,122.65,122.9,121.94,122.61,1881
753667200,122.55,123.86,122.5,123.55,1721
753926400,123.55,124.57,123.5,124.48,1211
754012800,124.49,124.97,124.14,124.3,1471
754099200,124.25,124.64,123.97,124.27,1321
754185600,124.37,124.5,123.9,124.09,921
754272000,124.07,124.38,123.97,124.27,621
754531200,124.35,125.16,124.17,124.91,1421
754617600,124.95,125.1,124.08,124.39,1481
754704000,124.35,124.35,123.37,123.64,1251
754790400,123.62,123.69,123.02,123.52,1241
754876800,123.58,123.98,123.04,123.45,1751
755136000,123.46,124.4,123.19,124.01,1871
755222400,124.02,124.16,123.33,123.46,1101
755308800,123.39,124.96,123.39,124.65,1881
755395200,124.6,124.85,124.21,124.75,1131
755481600,124.82,125.9,124.56,125.73,1771
755740800,125.65,126.17,124.67,124.73,2081
755827200,124.73,125.17,124.53,124.78,1231
755913600,124.72,125.25,124.51,125.04,1161
756000000,125.0,125.68,124.88,125.17,1431
756086400,125.04,126.4,125.04,125.9,1861
756345600,125.94,126.51,125.72,126.24,1281
756432000,126.22,127.52,126.2,127.29,1571
756518400,127.32,128.01,126.61,126.95,2431
756604800,126.94,127.94,126.84,127.69,1451
756691200,127.57,128.12,127.39,127.42,1311
756950400,127.65,128.46,127.36,128.19,1661
757036800,128.25,128.43,127.75,128.07,1181
757123200,128.3,128.4,126.36,126.44,2221
757209600,126.5,126.97,125.95,126.05,1591
757296000,126.07,126.28,125.46,125.64,1211
757555200,125.85,126.7,125.78,126.36,1331
757641600,126.28,127.5,126.28,126.8,1921
757728000,126.88,127.89,126.49,127.05,2631
757814400,127.09,127.28,126.14,126.23,1421
757900800,126.34,126.74,125.72,126.71,1671
758160000,126.57,127.06,126.27,126.6,1551
758246400,126.68,127.0,126.05,126.07,1291
758332800,126.03,126.83,125.96,126.55,1221
758419200,126.55,127.0,124.68,124.94,3031
758505600,124.97,125.13,123.51,124.0,2271
758764800,124.19,124.52,123.53,123.82,1611
758851200,123.77,124.18,123.41,124.1,1211
758937600,124.07,124.85,123.54,124.65,2041
759024000,124.68,125.71,124.58,125.48,1461
759110400,125.45,125.53,123.63,124.74,3091
759369600,125.04,125.34,124.69,124.86,1121
759456000,124.92,124.92,123.83,124.07,1331
759542400,124.09,124.09,123.04,123.34,1351
759628800,123.19,123.22,122.3,122.85,1501
759715200,122.88,124.05,122.79,123.55,1851
759974400,123.42,123.47,122.05,122.16,1581
760060800,122.09,122.28,121.52,121.61,1041
760147200,121.63,122.49,121.59,122.09,1341
760233600,122.21,122.29,121.34,121.69,1381
760320000,121.73,122.1,121.25,121.32,1291
760579200,121.22,121.22,120.44,120.64,981
760665600,120.67,121.0,120.32,120.57,1261
760752000,120.59,120.77,119.63,120.43,2121
760838400,120.36,121.13,120.13,120.61,1751
760924800,120.58,120.97,118.47,118.47,2891
761184000,118.58,118.86,115.25,116.04,4681
761270400,116.14,117.74,115.49,116.97,3671
761356800,116.91,118.09,116.63,117.91,1921
761443200,117.95,118.48,117.07,118.26,2511
761529600,118.21,119.48,118.13,119.48,1431
761788800,119.53,121.16,119.19,120.16,3311
761875200,120.1,120.52,119.0,119.63,2571
761961600,119.62,120.38,118.61,119.58,3501
762048000,119.61,120.11,118.94,119.32,2051
762134400,119.45,120.15,119.15,119.18,1731
762393600,119.2,120.11,118.87,120.0,1681
762480000,119.99,120.49,119.47,119.73,1781
762566400,119.78,119.78,118.44,119.64,2541
762652800,119.64,119.68,118.45,118.7,1521
762739200,118.59,120.43,118.35,119.95,2801
762998400,119.93,120.68,119.59,120.07,2041
763084800,120.1,120.32,119.77,120.14,1061
763171200,120.11,121.85,120.05,121.85,1861
763257600,121.74,122.65,121.66,122.22,1501
763344000,122.27,122.8,121.62,122.09,2181
763603200,122.06,123.14,121.98,123.04,1341
763689600,123.06,123.14,122.14,122.31,1251
763776000,122.36,122.89,121.89,122.72,1641
763862400,122.7,123.21,122.39,122.41,1351
763948800,122.14,122.81,122.02,122.47,1251
764208000,122.44,122.8,122.04,122.61,1351
764294400,122.65,123.34,122.46,122.83,1581
764380800,122.84,123.8,122.69,123.74,1321
764467200,123.74,124.37,122.61,122.94,2721
764553600,122.98,123.5,122.72,123.18,1361
764812800,123.28,123.28,121.52,121.73,1971
764899200,121.78,121.97,120.45,120.57,1831
764985600,120.62,120.89,119.86,120.38,1821
765072000,120.42,120.64,119.67,119.9,1421
765158400,120.17,120.26,119.25,119.36,1211
