Time,Open,Close,Tick Volume
1191502800,1.4111,1.4108,434
1191506400,1.4109,1.4081000000000001,676
1191510000,1.408,1.4078,530
1191513600,1.4079,1.4134,818
1191517200,1.4133,1.4126,316
1191520800,1.4125,1.4131,158
1191524400,1.4132,1.4129,122
1191528000,1.413,1.4117,137
1191531600,1.4116,1.4134,148
1191535200,1.4135,1.4138,168
1191538800,1.4139,1.4135,94
1191542400,1.4134,1.4133,57
1191546000,1.4134,1.4135,81
1191549600,1.4134,1.4134,165
1191553200,1.4135,1.4134,126
1191556800,1.4133,1.4136,84
1191560400,1.4137,1.4137,64
1191564000,1.4138,1.4134,105
1191567600,1.4135,1.4128,110
1191571200,1.4127,1.4126,280
1191574800,1.4127,1.4114,344
1191578400,1.4113,1.4108,318
1191582000,1.4107,1.4114,348
1191585600,1.4115,1.4123999999999999,401
1191589200,1.4125,1.413,427
1191592800,1.4129,1.4062000000000001,1176
1191596400,1.4062999999999999,1.4138,1102
1191600000,1.4139,1.414,591
1191603600,1.4142000000000001,1.4152,373
1191607200,1.4151,1.4136,218
1191610800,1.4135,1.4139,168
1191614400,1.4138,1.414,155
1191618000,1.4141,1.4135,138
1191621600,1.4134,1.4134,103
1191801600,1.415,1.4146,118
1191805200,1.4147,1.4149,123
1191808800,1.4148,1.4136,136
1191812400,1.4137,1.4136,125
1191816000,1.4137,1.4135,88
1191819600,1.4134,1.4135,112
1191823200,1.4134,1.4136,110
1191826800,1.4137,1.4137,154
1191830400,1.4136,1.4119,335
1191834000,1.412,1.4106,383
1191837600,1.4107,1.4093,332
1191841200,1.4094,1.409,231
1191844800,1.4089,1.4085,172
1191848400,1.4083999999999999,1.4091,211
1191852000,1.409,1.4088,163
1191855600,1.4089,1.4071,197
1191859200,1.4072,1.4062999999999999,364
1191862800,1.4064,1.4051,354
1191866400,1.4057,1.4053,226
1191870000,1.4052,1.4038,119
1191873600,1.4039,1.4046,118
1191877200,1.4047,1.4041000000000001,76
1191880800,1.4042,1.4046,109
1191884400,1.4047,1.4054,92
1191888000,1.4055,1.4046,71
1191891600,1.4045,1.4043999999999999,114
1191895200,1.4046,1.4043999999999999,185
1191898800,1.4043,1.4034,209
1191902400,1.4035,1.4033,149
1191906000,1.4034,1.4020000000000001,183
1191909600,1.4021,1.4021,127
1191913200,1.4022000000000001,1.4024,297
1191916800,1.4025,1.4043999999999999,415
1191920400,1.4043,1.4042,416
1191924000,1.4041000000000001,1.4035,264
1191927600,1.4037,1.4025,351
1191931200,1.4026,1.4031,327
1191934800,1.403,1.4028,324
1191938400,1.4029,1.4033,259
1191942000,1.4034,1.4054,441
1191945600,1.4053,1.4086,570
1191949200,1.4087,1.409,514
1191952800,1.4089,1.4091,177
1191956400,1.409,1.409,119
1191960000,1.4089,1.4098,604
1191963600,1.4101,1.4108,264
1191967200,1.4109,1.4104999999999999,156
1191970800,1.4104,1.4104,106
1191974400,1.4102999999999999,1.4102999999999999,112
1191978000,1.4104,1.4106,87
1191981600,1.4107,1.4107,230
1191985200,1.4108,1.41,178
1191988800,1.4099,1.4102000000000001,111
1191992400,1.4101,1.4112,165
1191996000,1.4113,1.4106,134
1191999600,1.4107,1.4101,229
1192003200,1.41,1.4116,392
1192006800,1.4115,1.4122,334
1192010400,1.4121000000000001,1.4133,420
1192014000,1.4134,1.4147,412
1192017600,1.4146,1.4146,271
1192021200,1.4144999999999999,1.4132,287
1192024800,1.4133,1.4162,534
1192028400,1.4161000000000001,1.4151,472
1192032000,1.415,1.4163000000000001,505
1192035600,1.4162,1.4154,416
1192039200,1.4155,1.4144,250
1192042800,1.4143,1.4131,324
1192046400,1.413,1.413,175
1192050000,1.4129,1.4144999999999999,199
1192053600,1.4146,1.4144,132
1192057200,1.4143,1.414,132
1192060800,1.4141,1.4138,84
1192064400,1.4137,1.4137,119
1192068000,1.4138,1.4141,120
1192071600,1.4142000000000001,1.4139,104
