Time,Open,Close,Tick Volume
1191416400,2.0399,2.0404,494
1191420000,2.0405,2.0403000000000002,559
1191423600,2.0404,2.0392,574
1191427200,2.0391,2.037,977
1191430800,2.0369,2.0366,620
1191434400,2.0367,2.0347,682
1191438000,2.0348,2.0339,222
1191441600,2.0338,2.032,379
1191445200,2.0321,2.0314,234
1191448800,2.0313,2.0321,147
1191452400,2.032,2.0319,137
1191456000,2.032,2.0323,109
1191459600,2.0322,2.0325,230
1191463200,2.0326,2.0322,104
1191466800,2.032,2.0326,137
1191470400,2.0325,2.0329,97
1191474000,2.033,2.0308,238
1191477600,2.0309,2.0306,351
1191481200,2.0307,2.0284,374
1191484800,2.0285,2.0306,575
1191488400,2.0305,2.0291,552
1191492000,2.0292,2.0313,499
1191495600,2.0315,2.0337,694
1191499200,2.0344,2.0313,594
1191502800,2.032,2.0337,870
1191506400,2.0336,2.0349,981
1191510000,2.035,2.0358,963
1191513600,2.036,2.0412,1149
1191517200,2.0411,2.039,518
1191520800,2.0389,2.0396,339
1191524400,2.0397,2.0385,165
1191528000,2.0384,2.0377,238
1191531600,2.0376,2.0381,283
1191535200,2.0382,2.0386,120
1191538800,2.0385,2.0385,186
1191542400,2.0384,2.0382,116
1191546000,2.0381,2.0387,164
1191549600,2.0386,2.0394,120
1191553200,2.0395,2.0394,167
1191556800,2.0392,2.0385,139
1191560400,2.0387,2.0386,50
1191564000,2.0387,2.0378,114
1191567600,2.0379,2.0377,253
1191571200,2.0376,2.0362,507
1191574800,2.0362999999999998,2.0347,719
1191578400,2.0348,2.0368,476
1191582000,2.0367,2.0356,460
1191585600,2.0357,2.0397,660
1191589200,2.0396,2.0392,650
1191592800,2.0393,2.0324,1406
1191596400,2.0325,2.0396,1453
1191600000,2.0397,2.0414,736
1191603600,2.0415,2.0434,539
1191607200,2.043,2.0422,293
1191610800,2.0421,2.0416,238
1191614400,2.0415,2.0415,200
1191618000,2.0416,2.042,134
1191621600,2.0421,2.0422,182
1191801600,2.0418,2.0416,64
1191805200,2.0415,2.0419,46
1191808800,2.042,2.0411,85
1191812400,2.0412,2.0414,84
1191816000,2.0413,2.042,82
1191819600,2.0419,2.0422,64
1191823200,2.0421,2.0422,84
1191826800,2.0423,2.0413,186
1191830400,2.0412,2.0411,308
1191834000,2.0412,2.0383,561
1191837600,2.0382,2.0371,501
1191841200,2.0372,2.0369,337
1191844800,2.037,2.0374,309
1191848400,2.0375,2.0386,421
1191852000,2.0387,2.0395,299
1191855600,2.0396,2.0375,391
1191859200,2.0374,2.0373,442
1191862800,2.0374,2.0356,409
1191866400,2.0357,2.0357,192
1191870000,2.0356,2.0337,214
1191873600,2.0336,2.0349,92
1191877200,2.035,2.0355,131
1191880800,2.0354,2.036,144
1191884400,2.0359,2.0371,182
1191888000,2.037,2.0352,117
1191891600,2.0353,2.0351,89
1191895200,2.035,2.0352,132
1191898800,2.0354,2.0344,167
1191902400,2.0343,2.0347,138
1191906000,2.0348,2.0334,210
1191909600,2.0333,2.0336,154
1191913200,2.0335,2.0333,253
1191916800,2.0332,2.0334,513
1191920400,2.0333,2.0339,448
1191924000,2.034,2.0331,393
1191927600,2.0332,2.0288,543
1191931200,2.0289,2.0292,555
1191934800,2.0291,2.0281,421
1191938400,2.028,2.0276,396
1191942000,2.0277,2.0283,751
1191945600,2.0282,2.0334,723
1191949200,2.0333,2.0328,564
1191952800,2.0329,2.0331,163
1191956400,2.033,2.0335,175
1191960000,2.0333,2.0349,546
1191963600,2.035,2.0379,283
1191967200,2.038,2.0375,193
1191970800,2.0374,2.0372,153
1191974400,2.0376,2.0373,108
1191978000,2.0374,2.0388,114
1191981600,2.0387,2.0401,429
1191985200,2.04,2.0387,210
1191988800,2.0388,2.0387,127
1191992400,2.0388,2.039,151
1191996000,2.0389,2.0376,162
1191999600,2.0378,2.0379,310
1192003200,2.0378,2.0404,518
1192006800,2.0403000000000002,2.0423,574
1192010400,2.0422,2.0441,626
1192014000,2.044,2.0468,574
1192017600,2.0467,2.0445,453
1192021200,2.0446,2.0399,596
1192024800,2.04,2.042,809
1192028400,2.0421,2.0419,650
1192032000,2.0418,2.0435,559
1192035600,2.0436,2.043,491
1192039200,2.0431,2.0425,319
1192042800,2.0424,2.0421,357
1192046400,2.042,2.0413,169
1192050000,2.0412,2.0416,224
1192053600,2.0415,2.0424,120
1192057200,2.0423,2.0418,135
1192060800,2.0419,2.0415,58
1192064400,2.039,2.039,174
1192068000,2.0391,2.0382,246
1192071600,2.0383,2.0377,181
1192075200,2.0378,2.0393,124
1192078800,2.0394,2.0404,234
1192082400,2.0405,2.0418,196
1192086000,2.0417,2.0397,321
1192089600,2.0396,2.0377,799
1192093200,2.0378,2.0382,757
1192096800,2.0383,2.0408,632
1192100400,2.0407,2.0392,564
1192104000,2.0391,2.0387,556
1192107600,2.0386,2.0372,558
1192111200,2.0371,2.0344,978
1192114800,2.0345,2.0336,576
1192118400,2.0337,2.0384,915
1192122000,2.0383,2.0338,578
1192125600,2.0339,2.0335,342
1192129200,2.0336,2.0335,241
1192132800,2.0336,2.0335,402
1192136400,2.033,2.0316,428
1192140000,2.0315,2.0315,115
1192143600,2.0316,2.0339,147
1192147200,2.0342,2.0341,72
1192150800,2.034,2.0329,84
1192154400,2.0328,2.0322,177
1192158000,2.0323,2.0312,115
1192161600,2.0313,2.0318,170
1192165200,2.0319,2.0328,102
1192168800,2.0329,2.0317,176
1192172400,2.0315,2.0303,255
1192176000,2.0304,2.0278,625
1192179600,2.0277,2.0259,711
1192183200,2.0258,2.03,664
1192186800,2.0299,2.0276,534
1192190400,2.0275,2.0262000000000002,439
1192194000,2.0264,2.0278,462
1192197600,2.0277,2.0335,1138
1192201200,2.0336,2.0332,846
1192204800,2.0333,2.0346,871
1192208400,2.0345,2.0337,591
1192212000,2.0338,2.0353,366
1192215600,2.0354,2.0347,176
1192219200,2.0346,2.034,130
1192222800,2.0341,2.0334,238
1192226400,2.0333,2.0359,166
1192406400,2.0351,2.0351,66
1192410000,2.0352,2.0344,139
1192413600,2.0343,2.0321,249
1192417200,2.032,2.0327,70
1192420800,2.0328,2.0352,173
1192424400,2.0351,2.0343,104
1192428000,2.0342,2.0347,107
1192431600,2.0349,2.0346,173
1192435200,2.0345,2.0361,322
1192438800,2.036,2.0376,604
1192442400,2.0377,2.0384,536
1192446000,2.0383,2.0383,382
1192449600,2.0382,2.0425,581
1192453200,2.0433,2.0402,511
1192456800,2.0401,2.0397,551
1192460400,2.0396,2.0425,560
1192464000,2.0423,2.0419,466
1192467600,2.042,2.0416,610
1192471200,2.0417,2.0417,211
1192474800,2.0416,2.0423,226
1192478400,2.0422,2.0421,220
1192482000,2.0422,2.0428,210
1192485600,2.0429,2.0428,186
1192489200,2.0429,2.0423,108
1192492800,2.0427,2.0421,164
1192496400,2.042,2.0416,289
1192500000,2.0415,2.0416,262
1192503600,2.0415,2.0422,138
1192507200,2.0423,2.0425,119
1192510800,2.0424,2.0423,134
1192514400,2.0424,2.0423,119
1192518000,2.0422,2.042,242
1192521600,2.0419,2.0419,440
1192525200,2.0418,2.0354,1088
1192528800,2.0353,2.0329,1070
1192532400,2.0328,2.0332,657
1192536000,2.0333,2.0304,531
1192539600,2.0303,2.0309,543
1192543200,2.031,2.0341,585
1192546800,2.0342,2.0346,957
1192550400,2.0347,2.0317,799
1192554000,2.0318,2.0323,690
1192557600,2.0324,2.032,296
1192561200,2.0322,2.0313,239
1192564800,2.0314,2.0313,153
1192568400,2.0314,2.0321,147
1192572000,2.0322,2.0326,195
1192575600,2.0327,2.0324,139
1192579200,2.0322,2.032,97
1192582800,2.0321,2.0313,180
1192586400,2.0315,2.0313,181
1192590000,2.0312,2.0311,214
1192593600,2.0309,2.0318,221
1192597200,2.0316,2.032,166
1192600800,2.0319,2.0317,212
1192604400,2.0316,2.0316,385
1192608000,2.0315,2.0317,663
1192611600,2.0316,2.0355,747
1192615200,2.0354,2.0351,770
1192618800,2.0352,2.0337,568
1192622400,2.0338,2.0339,342
1192626000,2.0337,2.0343,605
1192629600,2.0344,2.0379,836
1192633200,2.038,2.0389,796
1192636800,2.039,2.0375,579
1192640400,2.0376,2.0384,579
1192644000,2.0385,2.0372,342
1192647600,2.0374,2.0349,388
1192651200,2.035,2.0352,205
1192654800,2.0353,2.0376,297
1192658400,2.0374,2.0401,284
1192662000,2.04,2.0411,209
1192665600,2.041,2.0399,225
1192669200,2.0397,2.0387,163
1192672800,2.0386,2.04,177
1192676400,2.0399,2.0404,235
1192680000,2.0406,2.0395,240
1192683600,2.0396,2.0398,197
1192687200,2.0397,2.0395,222
1192690800,2.0394,2.0412,248
1192694400,2.0411,2.0423,619
1192698000,2.0424,2.0413,523
1192701600,2.0412,2.046,1011
1192705200,2.0459,2.0441,677
