Time,Open,Close,Tick Volume
1191387600,0.7612,0.7627,91
1191391200,0.7625,0.7621,90
1191394800,0.7623,0.7596,170
1191398400,0.7598,0.7612,171
1191402000,0.761,0.7591,256
1191405600,0.7589,0.7599,351
1191409200,0.7598,0.7621,152
1191412800,0.7623,0.7617,119
1191416400,0.7616,0.7616,107
1191420000,0.7617,0.7612,109
1191423600,0.7614,0.7612,240
1191427200,0.761,0.7599,309
1191430800,0.7598,0.7599,205
1191434400,0.7598,0.7571,225
1191438000,0.7573,0.7566,102
1191441600,0.7565,0.7553,131
1191445200,0.7555,0.7522,159
1191448800,0.7524,0.7547,74
1191452400,0.7544,0.754,86
1191456000,0.7539,0.7527,227
1191459600,0.7528,0.754,127
1191463200,0.7539,0.7537,129
1191466800,0.7538,0.7546,171
1191470400,0.7548,0.7544,108
1191474000,0.7542,0.7527,185
1191477600,0.7526,0.7522,197
1191481200,0.752,0.752,250
1191484800,0.7522,0.7544,295
1191488400,0.7542,0.752,281
1191492000,0.7519,0.7538,169
1191495600,0.754,0.7524,308
1191499200,0.7522,0.7524,137
1191502800,0.7526,0.7528,109
1191506400,0.753,0.752,153
1191510000,0.7522,0.753,114
1191513600,0.7531,0.7556,314
1191517200,0.7555,0.7549,134
1191520800,0.7551,0.7553,43
1191524400,0.7551,0.7549,71
1191528000,0.7551,0.754,99
1191531600,0.7542,0.7549,103
1191535200,0.7551,0.7548,141
1191538800,0.7549,0.7551,85
1191542400,0.7553,0.7556,4260
1191546000,0.7562,0.7553,55
1191549600,0.7555,0.7563,84
1191553200,0.7565,0.7558,88
1191556800,0.756,0.7563,42
1191560400,0.7562,0.756,28
1191564000,0.7561,0.7552,98
1191567600,0.7553,0.7548,98
1191571200,0.7549,0.7563,152
1191574800,0.7565,0.7566,179
1191578400,0.7565,0.7567,155
1191582000,0.7569,0.7574,209
1191585600,0.7573,0.758,211
1191589200,0.7581,0.7576,167
1191592800,0.7574,0.7566,534
1191596400,0.7565,0.7617,553
1191600000,0.7619,0.7611,366
1191603600,0.7609,0.7623,293
1191607200,0.7622,0.7605,282
1191610800,0.7606,0.7609,162
1191614400,0.761,0.7604,111
1191618000,0.7606,0.7611,158
1191621600,0.7612,0.7607,125
1191801600,0.7642,0.7628,3431
1191805200,0.763,0.7644,51
1191808800,0.7645,0.7655,110
1191812400,0.7653,0.7655,97
1191816000,0.7653,0.7652,59
1191819600,0.7653,0.7653,95
1191823200,0.7652,0.7652,96
1191826800,0.7653,0.766,139
1191830400,0.7661,0.7661,238
1191834000,0.766,0.7657,249
1191837600,0.7656,0.7645,241
1191841200,0.7646,0.7641,193
1191844800,0.764,0.7637,187
1191848400,0.7639,0.7637,147
1191852000,0.7638,0.7621,173
1191855600,0.762,0.763,231
1191859200,0.7631,0.7629,227
1191862800,0.763,0.7636,164
1191866400,0.7635,0.7627,79
1191870000,0.7629,0.7622,53
1191873600,0.7623,0.7613,111
1191877200,0.7614,0.7608,71
1191880800,0.7607,0.7614,124
1191884400,0.7616,0.7619,156
1191888000,0.762,0.7626,57
1191891600,0.7627,0.7625,154
1191895200,0.7626,0.7644,142
1191898800,0.7645,0.7624,176
1191902400,0.7625,0.7615,115
1191906000,0.7614,0.7613,102
1191909600,0.7612,0.7604,219
1191913200,0.7605,0.7604,81
1191916800,0.7605,0.7625,118
1191920400,0.7624,0.762,197
1191924000,0.7621,0.7592,194
1191927600,0.7593,0.7602,238
1191931200,0.7601,0.7612,227
1191934800,0.7613,0.7593,277
1191938400,0.7594,0.7593,273
1191942000,0.7594,0.7599,185
1191945600,0.7598,0.7624,361
1191949200,0.7622,0.762,345
1191952800,0.7618,0.762,96
1191956400,0.7621,0.7613,47
1191960000,0.7612,0.7624,273
1191963600,0.7625,0.7643,163
1191967200,0.764,0.765,151
1191970800,0.7648,0.7654,146
1191974400,0.7653,0.7639,4930
1191978000,0.7638,0.7633,181
1191981600,0.7634,0.7644,101
1191985200,0.7643,0.7631,188
1191988800,0.763,0.7624,110
1191992400,0.7623,0.763,63
1191996000,0.7631,0.7633,184
1191999600,0.7632,0.7625,200
1192003200,0.7626,0.7633,299
