Time,Open,Close,Tick Volume
1191513600,0.9995,0.9991,566
1191517200,0.999,0.9979,329
1191520800,0.998,0.9976,169
1191524400,0.9977,0.9976,138
1191528000,0.9979,0.9966,125
1191531600,0.9967,0.9974,140
1191535200,0.9973,0.9967,157
1191538800,0.9966,0.9969,64
1191542400,0.9964,0.9968,25
1191546000,0.9967,0.9966,42
1191549600,0.9967,0.9972,80
1191553200,0.9973,0.9972,17
1191556800,0.997,0.997,23
1191560400,0.9971,0.9971,26
1191564000,0.997,0.9971,46
1191567600,0.997,0.9978,56
1191571200,0.9979,0.997,127
1191574800,0.9969,0.997,186
1191578400,0.9971,0.9955,415
1191582000,0.9957,0.9957,409
1191585600,0.9959,0.9937,378
1191589200,0.9938,0.9866,911
1191592800,0.9867,0.9874,861
1191596400,0.9873,0.9819,815
1191600000,0.982,0.9809,488
1191603600,0.981,0.9813,349
1191607200,0.9812,0.9815,196
1191610800,0.9816,0.981,170
1191614400,0.9811,0.9817,134
1191618000,0.9816,0.9816,131
1191621600,0.9817,0.9805,196
1191801600,0.9812,0.9821,50
1191805200,0.982,0.9816,60
1191808800,0.9817,0.9819,78
1191812400,0.9818,0.9818,142
1191816000,0.9817,0.982,78
1191819600,0.9819,0.9824,75
1191823200,0.9821,0.9822,68
1191826800,0.9821,0.981,156
1191830400,0.9811,0.9822,231
1191834000,0.9824,0.9814,204
1191837600,0.9815,0.9825,253
1191841200,0.9824,0.9832,225
1191844800,0.9831,0.9835,221
1191848400,0.9834,0.984,194
1191852000,0.9839,0.9848,187
1191855600,0.9847,0.9867,171
1191859200,0.9868,0.9854,230
1191862800,0.9855,0.986,173
1191866400,0.9863,0.9862,149
1191870000,0.9861,0.9868,187
1191873600,0.9866,0.9867,98
1191877200,0.9868,0.9871,74
1191880800,0.987,0.9866,114
1191884400,0.9867,0.9859,70
1191888000,0.9864,0.9866,64
1191891600,0.9864,0.9867,65
1191895200,0.9869,0.9864,112
1191898800,0.9866,0.9871,42
1191902400,0.987,0.9864,67
1191906000,0.9865,0.9875,63
1191909600,0.9874,0.9874,100
1191913200,0.9877,0.9859,139
1191916800,0.986,0.9862,159
1191920400,0.9861,0.9877,336
1191924000,0.9878,0.9874,153
1191927600,0.9873,0.9892,280
1191931200,0.9891,0.9875,301
1191934800,0.9876,0.9883,241
1191938400,0.9882,0.9874,314
1191942000,0.9873,0.9864,307
1191945600,0.9865,0.9844,424
1191949200,0.9843,0.9846,346
1191952800,0.9845,0.9828,191
1191956400,0.983,0.983,74
1191960000,0.9831,0.9831,298
1191963600,0.9832,0.9824,101
1191967200,0.9823,0.9813,187
1191970800,0.9815,0.981,125
1191974400,0.9814,0.9825,90
1191978000,0.9826,0.9821,48
1191981600,0.9825,0.9821,75
1191985200,0.9825,0.9824,83
1191988800,0.9822,0.9822,55
1191992400,0.9823,0.9818,50
1191996000,0.9819,0.982,83
1191999600,0.9819,0.9813,167
1192003200,0.9814,0.9801,299
1192006800,0.9802,0.9809,289
1192010400,0.9808,0.9806,316
1192014000,0.9805,0.9808,210
1192017600,0.9807,0.9797,235
1192021200,0.9796,0.9812,317
1192024800,0.9811,0.9806,359
1192028400,0.9805,0.9816,400
1192032000,0.9814,0.9823,382
1192035600,0.9822,0.9813,223
1192039200,0.9812,0.9814,152
1192042800,0.9818,0.9822,155
1192046400,0.9823,0.9812,200
1192050000,0.9811,0.9801,167
1192053600,0.98,0.9815,117
1192057200,0.9814,0.9816,92
1192060800,0.9819,0.9814,63
1192064400,0.9819,0.9816,47
1192068000,0.9815,0.9813,76
