Time,Open,High,Low,Close,Tick Volume
1447743600,6.39601,6.39746,6.39532,6.39635,177
1447747200,6.39645,6.39865,6.39576,6.39771,583
1447750800,6.39771,6.40086,6.39771,6.39949,752
1447754400,6.39949,6.40319,6.39929,6.40309,757
1447758000,6.40309,6.40309,6.4003,6.40063,484
1447761600,6.40058,6.40369,6.40024,6.40369,862
1447765200,6.40379,6.40769,6.40128,6.4045,4152
1447768800,6.4045,6.40661,6.40429,6.40641,2465
1447772400,6.40604,6.40792,6.40529,6.40674,640
1447776000,6.40674,6.40726,6.40581,6.40699,651
1447779600,6.40694,6.40873,6.40694,6.40741,879
1447783200,6.40741,6.40822,6.40489,6.40739,745
1447786800,6.40753,6.40812,6.40665,6.40701,603
1447790400,6.40689,6.4077,6.40688,6.40719,194
1447794000,6.40711,6.4084900000000005,6.407,6.40829,558
1447797600,6.40798,6.40886,6.40759,6.40841,358
1447801200,6.4084900000000005,6.40979,6.40801,6.40924,217
1447804800,6.41169,6.41273,6.41061,6.41239,196
1447808400,6.41252,6.41269,6.41006,6.41142,285
1447812000,6.41109,6.41286,6.40694,6.41223,1492
1447815600,6.41223,6.41739,6.40809,6.41493,1627
1447819200,6.41484,6.41702,6.41309,6.41687,1623
1447822800,6.41687,6.41687,6.4136,6.41462,810
1447826400,6.41431,6.41549,6.41363,6.41522,353
1447830000,6.41522,6.41532,6.41173,6.41212,572
1447833600,6.41227,6.41306,6.40189,6.40973,2348
1447837200,6.40931,6.41342,6.40839,6.41281,1430
1447840800,6.41286,6.41933,6.41271,6.41833,1225
1447844400,6.4183,6.41853,6.41549,6.41722,1072
1447848000,6.41722,6.41742,6.41227,6.41367,1604
1447851600,6.41328,6.41638,6.41328,6.41531,1939
1447855200,6.41549,6.41569,6.41406,6.41431,817
1447858800,6.41421,6.41739,6.41421,6.41601,2094
1447862400,6.41607,6.41607,6.41241,6.41293,1134
1447866000,6.41266,6.41389,6.41102,6.41339,476
1447869600,6.41349,6.41778,6.41339,6.41769,842
1447873200,6.41773,6.41805,6.4169,6.41731,230
1447876800,6.41722,6.41937,6.41716,6.41859,216
1447880400,6.41839,6.41973,6.41646,6.41778,756
1447884000,6.41781,6.41849,6.41636,6.41712,1110
1447887600,6.41719,6.41755,6.41561,6.41649,400
1447891200,6.41627,6.41727,6.4156,6.4157,27
1447894800,6.41589,6.41665,6.41564,6.41601,2584
1447898400,6.41627,6.41689,6.41241,6.41421,1501
1447902000,6.41421,6.41449,6.4039,6.40793,2102
1447905600,6.40793,6.41169,6.40735,6.40906,908
1447909200,6.40901,6.40983,6.40205,6.40541,955
1447912800,6.40518,6.40725,6.40474,6.40515,723
1447916400,6.40489,6.40739,6.40471,6.40669,724
1447920000,6.40679,6.40914,6.40582,6.40844,862
1447923600,6.40839,6.41018,6.4076699999999995,6.40953,690
1447927200,6.40948,6.41281,6.40721,6.41029,1043
1447930800,6.4101099999999995,6.41391,6.40811,6.41159,1267
1447934400,6.41156,6.41309,6.4097,6.41031,913
1447938000,6.41064,6.41064,6.40618,6.40815,750
1447941600,6.4081,6.41101,6.40759,6.40951,1556
1447945200,6.40951,6.41085,6.40829,6.40901,1182
1447948800,6.40901,6.4097100000000005,6.40661,6.40863,1538
1447952400,6.40868,6.40941,6.40671,6.40741,1102
1447956000,6.40731,6.4076,6.40572,6.40604,628
1447959600,6.40571,6.40778,6.40554,6.40714,720
1447963200,6.40722,6.40752,6.40571,6.40597,665
1447966800,6.40571,6.40597,6.4036100000000005,6.40382,354
1447970400,6.40366,6.40403,6.40326,6.4036100000000005,282
1447974000,6.4036100000000005,6.40407,6.40189,6.40189,178
1447977600,6.40359,6.40359,6.40299,6.40299,53
1447981200,6.40349,6.40609,6.40301,6.40549,3083
1447984800,6.40549,6.40629,6.4036,6.4049,2946
1447988400,6.40479,6.41144,6.40322,6.41119,1429
1447992000,6.41101,6.41153,6.40619,6.40829,991
1447995600,6.40834,6.40857,6.40588,6.40671,728
1447999200,6.40661,6.40799,6.40631,6.40633,606
1448002800,6.40621,6.40689,6.40481,6.40591,621
1448006400,6.40601,6.4103,6.40538,6.40943,741
1448010000,6.40938,6.41208,6.40863,6.41168,896
1448013600,6.41168,6.41408,6.40963,6.41308,1166
1448017200,6.41298,6.41607,6.4121,6.41358,928
1448020800,6.41373,6.41489,6.412,6.41421,879
1448024400,6.41431,6.41778,6.41374,6.41745,939
1448028000,6.41711,6.4182,6.41381,6.41691,1553
1448031600,6.41681,6.41913,6.4158,6.41718,1404
1448035200,6.41698,6.41734,6.41511,6.41601,1074
1448038800,6.41611,6.41919,6.41551,6.41729,769
1448042400,6.41719,6.41899,6.41688,6.41871,963
1448046000,6.41871,6.41975,6.41689,6.41821,568
1448049600,6.41833,6.41943,6.41795,6.4188,304
1448053200,6.41861,6.42095,6.41841,6.42049,391
1448056800,6.4206900000000005,6.421,6.41941,6.42004,334
1448060400,6.42019,6.42089,6.41891,6.41931,189
1448236800,6.41183,6.4175699999999996,6.41183,6.41656,57
1448240400,6.41623,6.41691,6.41616,6.41663,1136
1448244000,6.41631,6.41943,6.41609,6.41657,329
1448247600,6.41701,6.43498,6.41655,6.42533,1944
1448251200,6.42533,6.43082,6.42528,6.4295,1335
1448254800,6.4294,6.43159,6.4273,6.4292300000000004,996
1448258400,6.42913,6.43107,6.42849,6.4297,687
1448262000,6.42946,6.43268,6.42946,6.43131,1652
1448265600,6.43131,6.4330300000000005,6.42833,6.42867,1044
1448269200,6.42872,6.43179,6.42861,6.43173,708
